core cycles iteration
0 46599 1
0 37825 2
0 41881 3
0 37711 4
0 46077 5
0 37933 6
0 38107 7
0 57813 8
0 37917 9
0 38121 10
0 42113 11
0 44095 12
0 60805 13
0 42861 14
0 46817 15
0 49991 16
0 42915 17
0 43553 18
0 44263 19
0 46573 21
0 43791 22
0 42653 23
0 42735 24
0 49607 25
0 43293 26
0 54361 27
0 42707 28
0 57565 29
0 38003 30
0 2456751 31
0 37741 33
0 37941 34
0 39203 35
0 38165 36
0 2471587 37
0 43451 38
0 48805 39
0 42019 40
0 37911 41
0 37843 43
0 42631 44
0 41977 45
0 42957 46
0 37921 47
0 42637 48
0 37753 49
0 44567 51
0 42623 52
0 42171 53
0 38205 54
0 42743 55
0 49289 56
0 36351 57
0 43707 58
0 42049 59
0 43901 60
0 37997 61
0 38023 64
0 1252579 65
0 50625 66
0 43753 67
0 2451597 69
0 38079 70
0 55141 71
0 42013 72
0 37735 73
0 37713 74
0 41945 75
0 42417 76
0 37819 77
0 46173 78
0 37945 79
0 40191 80
0 49021 81
0 42495 82
0 1274979 83
0 39289 84
0 49993 86
0 37719 87
0 42615 88
0 59455 89
0 47467 90
0 47899 91
0 42955 92
0 40177 93
0 38119 94
0 52521 95
0 50911 96
0 44233 97
0 55213 98
0 47377 99
0 55779 102
0 36605 103
0 43237 104
0 51169 105
0 42577 106
0 42681 107
0 44031 108
0 50271 111
0 40879 112
0 39223 113
0 47743 114
0 42021 115
0 51667 116
0 1249373 117
0 48709 118
0 58465 119
0 49151 121
0 37973 122
0 41821 123
0 41337 124
0 42577 125
0 57991 126
0 40165 127
0 58355 128
0 43775 130
0 43359 131
0 43219 132
0 42367 134
0 37945 135
0 42505 136
0 38225 137
0 41201 138
0 43581 139
0 38723 140
0 37851 141
0 41039 142
0 43427 144
0 42565 145
0 38117 146
0 38043 147
0 42085 148
0 41035 149
0 1254075 151
0 1248403 152
0 46037 153
0 37879 154
0 53015 155
0 43561 156
0 42935 157
0 42325 158
0 42837 159
0 38005 160
0 44845 161
0 60051 162
0 42495 163
0 43419 164
0 39181 165
0 45769 166
0 43191 167
0 38071 168
0 43699 169
0 44149 170
0 42655 172
0 42569 173
0 43051 174
0 37965 175
0 43709 176
0 42607 177
0 38141 179
0 42517 180
0 43797 181
0 38019 182
0 42547 183
0 2451759 184
0 43521 185
0 41983 186
0 43443 187
0 43839 188
0 1249053 189
0 57741 190
0 43573 191
0 43183 192
0 37989 193
0 40187 194
0 43321 195
0 43597 196
0 47293 198
0 2456769 199
0 45833 200
0 57015 201
0 47841 202
0 43423 203
0 46897 204
0 38161 205
0 37969 206
0 58597 207
0 43421 208
0 42805 209
0 51331 210
0 1253277 211
0 43255 212
0 1250913 214
0 59897 215
