core cycles iteration
0 42440 1
0 37976 2
0 37694 3
0 37846 4
0 42218 5
0 37940 6
0 42578 7
0 38126 8
0 2456896 9
0 37814 10
0 42808 11
0 42692 12
0 37750 13
0 37964 14
0 58860 15
0 38004 16
0 41794 17
0 38116 19
0 43780 20
0 38108 21
0 38078 22
0 42254 23
0 46046 24
0 43494 25
0 42908 26
0 36582 27
0 38056 28
0 37880 29
0 37802 30
0 44054 31
0 42602 32
0 41720 33
0 1255700 34
0 38066 35
0 38206 37
0 37960 38
0 42614 39
0 41902 40
0 37906 41
0 42944 42
0 38006 43
0 42664 44
0 38078 45
0 38018 46
0 38024 47
0 56692 48
0 2455940 49
0 43962 50
0 37852 51
0 36464 52
0 38004 53
0 37968 54
0 51298 56
0 43100 57
0 38096 58
0 41918 59
0 37940 60
0 43380 61
0 38240 62
0 38796 63
0 38016 64
0 37988 65
0 41936 66
0 37892 67
0 38144 68
0 38060 69
0 37948 70
0 38018 71
0 40838 72
0 38216 74
0 41884 75
0 43506 76
0 55260 77
0 37988 78
0 37834 79
0 42966 80
0 36368 81
0 37978 82
0 38168 83
0 42884 84
0 36482 85
0 37830 86
0 37870 87
0 42456 88
0 37956 89
0 37840 90
0 37976 91
0 42058 92
0 37892 93
0 39346 94
0 43676 95
0 38208 96
0 38230 97
0 37772 98
0 37908 99
0 37994 100
0 38288 101
0 38138 102
0 42230 103
0 38008 104
0 56402 106
0 42272 107
0 44882 108
0 38698 109
0 37952 110
0 42064 111
0 38282 112
0 37958 113
0 38040 114
0 42142 115
0 38002 116
0 42806 117
0 37926 118
0 43064 119
0 38050 120
0 37796 121
0 43926 122
0 43094 123
0 38876 124
0 1247458 125
0 43496 126
0 42272 127
0 57890 128
0 40500 129
0 53660 130
0 38078 131
0 41966 132
0 37942 133
0 38002 134
0 38068 135
0 37810 136
0 42800 137
0 36640 138
0 43288 139
0 42604 140
0 43586 141
0 42684 142
0 36566 143
0 38150 144
0 56106 145
0 38120 146
0 37976 147
0 38146 148
0 38820 149
0 38036 151
0 43656 152
0 37922 153
0 38092 154
0 38072 155
0 37980 156
0 38102 157
0 57808 158
0 36238 159
0 38408 160
0 42392 161
0 37954 162
0 42212 163
0 37952 164
0 41798 165
0 43152 166
0 38156 167
0 37986 168
0 37754 169
0 38198 170
0 38082 171
0 37928 172
0 42408 173
0 57130 174
0 38204 175
0 42254 176
0 37984 177
0 54858 178
0 38200 179
0 38414 180
0 42538 181
0 37836 182
0 42040 183
0 37988 184
0 38016 185
0 42362 186
0 42122 188
0 42728 189
0 37928 190
0 42908 191
0 38128 192
0 38096 193
0 37730 194
0 37856 195
0 37838 196
0 46292 197
0 38376 198
0 43052 199
0 38050 200
0 38416 201
0 42034 202
0 37926 203
0 38162 204
0 37826 205
0 42118 206
